Date,Close,High,Low,Open,Volume
5/11/2000,31.08764648,31.27662836,30.66243652,31.04040028,3334516
5/12/2000,30.85141563,31.27662556,30.28446712,31.08764369,3104612
5/15/2000,30.85141563,31.08764369,30.37895951,30.85141563,3892043
5/16/2000,31.89081764,32.22153807,31.18213352,31.18213352,5938773
5/17/2000,31.93807793,32.41053422,31.79633929,31.89083171,4089812
5/18/2000,31.1348896,32.36327609,30.99315101,31.93806617,4393614
5/19/2000,31.04040146,31.18214007,30.0482429,31.13489386,4461328
5/22/2000,30.8986721,31.37112838,30.23723098,31.04040782,4200507
5/23/2000,30.28446579,30.75692189,30.04823774,30.75692189,4224430
5/24/2000,29.71751785,30.85141485,28.86709803,30.28446635,4405879
5/25/2000,30.09548759,30.56794375,29.52853904,29.71752092,3919007
5/26/2000,30.14273453,30.37896261,29.67027544,30.09548833,3368170
5/30/2000,31.65459251,31.74908199,30.70968026,30.70968026,7346782
5/31/2000,31.89081764,32.07979949,31.46560775,31.6545896,5180943
6/1/2000,31.56010246,32.17429722,31.0876463,31.89082294,3898530
6/2/2000,30.56793976,31.74908,30.4262041,31.56009814,5836898
6/5/2000,30.70967865,30.99314997,30.23721963,30.56794007,4218956
6/6/2000,30.8986721,31.41837459,30.56795154,30.70969018,3841967
6/7/2000,30.37896347,30.94591206,30.33171727,30.89866585,3373644
6/8/2000,30.56793976,31.08764205,30.33171171,30.3789579,3073391
6/9/2000,31.41836739,31.74908495,30.61519073,30.61519073,4017537
6/12/2000,30.78054619,31.51285197,30.52069358,31.4183625,3474506
6/13/2000,30.37896347,31.37112204,30.37896347,30.78055181,5000405
6/14/2000,30.80417061,31.04039868,30.56794254,30.56794254,2941105
6/15/2000,31.74908257,31.74908257,30.89866269,30.89866269,4222200
6/16/2000,31.1348896,31.93806617,31.04039721,31.74908138,4973543
6/19/2000,31.70183945,31.74908272,31.08764472,31.13489091,2712012
6/20/2000,31.56010246,31.79633054,31.41836678,31.70184106,3295895
6/21/2000,31.56010246,31.79633054,31.37112058,31.56010246,2932286
6/22/2000,31.37111664,31.60734469,31.0403962,31.56009849,2864369
6/23/2000,29.9537468,31.22937949,29.76476493,31.22937949,5519108
6/26/2000,30.61519241,30.61519241,29.9065052,29.9537514,3821997
6/27/2000,30.23722839,30.61519514,29.90650786,30.61519514,3376787
6/28/2000,29.5994072,30.3789622,29.19781887,30.2372236,3165332
6/29/2000,29.85926056,30.33171673,28.77260961,29.59940791,4801723
6/30/2000,29.33955574,29.81201187,28.53637914,29.81201187,6610542
7/3/2000,29.15058327,29.2450757,28.72537315,29.2450757,2323568
7/5/2000,28.7726078,29.38680254,28.63087213,29.15057155,4211353
7/6/2000,28.34738731,29.6230196,28.30014113,28.7725971,3873087
7/7/2000,28.7253685,28.81986092,27.59147407,28.34740466,9323974
7/10/2000,28.58362579,29.05608193,28.30015152,28.72536147,4125190
7/11/2000,27.21350098,28.53637994,27.21350098,28.53637994,3834972
7/12/2000,27.26074219,28.81984894,27.26074219,27.26074219,4153269
7/13/2000,28.06392479,28.48913475,27.40248382,27.40248382,5091232
7/14/2000,28.30015564,28.34740185,27.4024865,28.06392753,4110492
